Name,player_id,Age,Team,Season,Cluster,PA,wRC+,xwOBA,OFF,xBA,K%,BB%,P/PA,SwStr%,50th_max_velo,Brls/BBE%,HardHit%,HR/FB%,Spd,BsR,GB%,LD%,FB%,IFH%,Pull%,Oppo%,Swing%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,LA,HR,SB,Meatball_Swing%,F_Strike%,Solid_Contact%
DJ LeMahieu,518934,34,NYY,2023,10,562,101,0.322,-3.7,0.255,22.2,10.7,4.01,6.8,100.3,5.9,43.1,15.5,3.0,-4.4,55.0,19.0,26.0,3.9,34.5,28.1,39.2,25.9,70.3,55.9,89.8,3.8,15,2,63.8,60.6,6.4
Julio Rodríguez,677594,22,SEA,2023,4,714,126,0.345,27.6,0.274,24.5,6.6,3.52,14.4,104.1,11.9,52.0,19.6,6.0,5.2,47.6,18.5,33.9,12.7,42.0,23.7,53.8,41.0,58.9,73.0,85.1,8.5,32,37,78.9,63.4,7.3
George Springer III,543807,33,TOR,2023,7,683,104,0.332,2.9,0.264,18.3,8.8,3.7,9.8,100.3,7.7,39.4,12.1,4.6,-0.4,44.2,20.4,35.4,6.9,39.5,24.4,49.2,27.5,63.4,76.1,87.4,12.0,21,20,87.3,61.6,6.5
Xander Bogaerts,593428,30,SDP,2023,10,665,120,0.318,17.5,0.255,16.5,8.4,3.98,8.1,98.5,6.1,34.4,11.7,5.2,0.9,50.4,16.7,32.9,12.1,40.2,28.3,42.6,28.6,68.6,60.3,88.3,7.9,19,19,63.7,60.3,4.5
Cal Raleigh,663728,26,SEA,2023,3,569,111,0.33,5.6,0.233,27.8,9.5,4.11,14.0,101.0,12.6,40.7,17.3,2.1,-2.2,31.5,19.9,48.6,8.9,51.1,19.9,49.7,34.5,59.6,72.5,80.6,20.3,30,0,78.8,57.6,7.0
Will Smith,669257,28,LAD,2023,6,554,119,0.352,11.7,0.262,16.1,11.4,4.14,7.8,99.6,6.7,41.3,11.2,4.0,-1.1,37.2,18.9,43.9,9.0,37.7,27.9,45.7,28.4,77.1,70.2,86.1,15.6,19,3,79.4,58.9,9.3
Eugenio Suárez,553993,31,SEA,2023,9,694,102,0.324,-0.4,0.223,30.8,10.1,4.18,13.2,100.7,12.7,43.0,12.9,1.9,-2.5,33.9,22.8,43.3,6.7,46.8,20.0,44.5,26.4,50.8,68.5,80.4,18.9,22,2,77.4,60.1,6.8
Nico Hoerner,663538,26,CHC,2023,5,688,102,0.311,8.5,0.273,12.1,7.1,3.69,5.1,97.3,1.7,33.0,4.9,6.8,6.8,46.9,19.1,34.1,7.9,31.6,28.8,45.4,33.5,80.7,61.3,94.7,10.5,9,43,63.2,62.2,4.2
Triston Casas,671213,23,BOS,2023,9,502,129,0.37,14.8,0.253,25.1,13.9,4.11,11.0,102.6,13.1,46.2,18.6,2.2,-3.0,36.7,21.0,42.3,4.5,38.7,20.7,43.6,26.0,64.3,68.6,80.3,15.7,24,0,80.8,53.8,7.5
Dansby Swanson,621020,29,CHC,2023,7,638,104,0.345,5.3,0.255,24.1,10.3,4.01,12.7,99.8,10.9,39.5,15.2,4.8,2.3,44.6,20.3,35.1,9.8,46.0,18.4,47.4,28.4,61.3,73.3,79.3,13.0,22,9,79.8,61.8,7.3
